iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_imputation__params,param_feature_selection__threshold,param_feature_selection__strategy,param_feature_extraction__params,param_feature_extraction__n_lags,param_classifier__base_estimator__n_estimators,param_classifier__base_estimator__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,57,0.02775568962097168,0.006333031409699956,0.0,0.0,"('interpolate', ('spline', 2))",0.95,correlation,"('pycatch22', {})",5,100,3,"{'imputation__params': ('interpolate', ('spline', 2)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.03161168098449707,0.0077406734041099365,0.0,0.0,"('interpolate', 'linear')",0.9,pca,"('pycatch22', {})",8,50,7,"{'imputation__params': ('interpolate', 'linear'), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.02550473213195801,0.004669081566010628,0.0,0.0,"('interpolate', ('polynomial', 3))",0.85,correlation,"('pycatch22', {})",8,25,7,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.06075825691223145,0.056464532779155634,0.0046160221099853516,0.009232044219970703,"('interpolate', 'linear')",0.85,correlation,"('pycatch22', {})",3,100,5,"{'imputation__params': ('interpolate', 'linear'), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.06128373146057129,0.06604109611869327,0.006258487701416016,0.012516975402832031,"('interpolate', ('spline', 2))",0.85,correlation,"('pycatch22', {})",3,50,7,"{'imputation__params': ('interpolate', ('spline', 2)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.023825454711914062,0.010811820229988903,0.0,0.0,"('interpolate', ('polynomial', 2))",0.9,pca,"('pycatch22', {})",8,25,3,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.02794513702392578,0.007085459706443089,0.0,0.0,"('interpolate', ('polynomial', 2))",0.85,correlation,"('pycatch22', {})",8,25,7,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.034649991989135744,0.009302159592759027,0.0,0.0,"('interpolate', 'linear')",0.95,correlation,"('pycatch22', {})",5,100,3,"{'imputation__params': ('interpolate', 'linear'), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.02869877815246582,0.005851074778910151,0.0,0.0,"('interpolate', 'linear')",0.95,correlation,"('pycatch22', {})",8,50,7,"{'imputation__params': ('interpolate', 'linear'), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.040792655944824216,0.020808027555283035,0.004037332534790039,0.008074665069580078,"('ffill', None)",0.9,pca,"('pycatch22', {})",3,25,7,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.03211565017700195,0.0032416751174484475,0.0,0.0,"('interpolate', ('spline', 2))",0.85,correlation,"('pycatch22', {})",8,25,5,"{'imputation__params': ('interpolate', ('spline', 2)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.06374177932739258,0.06045585828938374,0.006060981750488281,0.01212196350097656,"('interpolate', ('polynomial', 2))",0.95,correlation,"('pycatch22', {})",3,100,3,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.025135278701782227,0.007794441608316245,0.0,0.0,"('interpolate', ('spline', 3))",0.95,pca,"('pycatch22', {})",8,100,5,"{'imputation__params': ('interpolate', ('spline', 3)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.02879300117492676,0.00654536807814796,0.0,0.0,"('ffill', None)",0.9,pca,"('pycatch22', {})",8,50,5,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.034154415130615234,0.008188998854945402,0.0,0.0,"('ffill', None)",0.9,pca,"('pycatch22', {})",5,25,3,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.03308916091918945,0.010342263725933686,0.0,0.0,"('ffill', None)",0.85,pca,"('pycatch22', {})",8,50,3,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.04284958839416504,0.024222637748843905,0.005088138580322266,0.010176277160644533,"('interpolate', ('polynomial', 3))",0.85,pca,"('pycatch22', {})",3,100,3,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.037985610961914065,0.016169690120829833,0.0024391651153564454,0.004878330230712892,"('ffill', None)",0.95,pca,"('pycatch22', {})",3,50,5,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.031071043014526366,0.006461061434207097,0.0,0.0,"('ffill', None)",0.95,pca,"('pycatch22', {})",8,100,3,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.03266773223876953,0.010333983142549838,0.0,0.0,"('interpolate', 'linear')",0.85,pca,"('pycatch22', {})",8,100,5,"{'imputation__params': ('interpolate', 'linear'), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.04930338859558105,0.04146892865831994,0.0022298812866210936,0.004459762573242187,"('interpolate', ('polynomial', 3))",0.9,correlation,"('pycatch22', {})",3,50,3,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.024620771408081055,0.004691021493155937,0.0,0.0,"('ffill', None)",0.9,pca,"('pycatch22', {})",8,100,7,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.07046818733215332,0.08170092119535227,0.007658481597900391,0.015316963195800781,"('interpolate', ('polynomial', 3))",0.85,correlation,"('pycatch22', {})",3,50,7,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.038669919967651366,0.02097578420837027,0.004043054580688476,0.008086109161376953,"('interpolate', ('spline', 3))",0.95,pca,"('pycatch22', {})",3,50,3,"{'imputation__params': ('interpolate', ('spline', 3)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
