feature,importance
TPressParameterCode_10.0,0
TPressParameterCode_13.0_IN_AutoMutualInfoStats_40_gaussian_fmmi,0
TPressParameterCode_13.0_FC_LocalSimple_mean1_tauresrat,0
TPressParameterCode_13.0_DN_OutlierInclude_p_001_mdrmd,0
TPressParameterCode_13.0_SP_Summaries_welch_rect_area_5_1,0
TPressParameterCode_13.0_SB_BinaryStats_diff_longstretch0,0
TPressParameterCode_33.0,0
TPressParameterCode_13.0_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0
TPressParameterCode_13.0_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0
TPressParameterCode_13.0_SP_Summaries_welch_rect_centroid,0
TPressParameterCode_11.0,0
TPressProdReportFCCPVM_PD_PeriodicityWang_th0_01,0
TPressSetupCode_125,0
TPressParameterCode_4.0,0
TPressProdReportFCCPVM_IN_AutoMutualInfoStats_40_gaussian_fmmi,0
TPressProdReportFCCPVM_FC_LocalSimple_mean1_tauresrat,0
TPressProdReportFCCPVM_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0
TPressProdReportFCCPVM_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0
TPressProdReportFCCPVM_SP_Summaries_welch_rect_centroid,0
TPressParameterCode_27.0_CO_HistogramAMI_even_2_5,0
TPressParameterCode_27.0_MD_hrv_classic_pnn40,0
TPressParameterCode_27.0_SB_TransitionMatrix_3ac_sumdiagcov,0
TPressParameterCode_27.0_PD_PeriodicityWang_th0_01,0
TPressParameterCode_13.0_PD_PeriodicityWang_th0_01,0
TPressParameterCode_12.0,0
TPressParameterCode_24.0_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0
TPressParameterCode_24.0_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0
TPressSetupCode_126,0
TPressSetupCode_128,0
TPressSetupCode_139,0
TPressSetupCode_163,0
TPressSetupCode_164,0
TPressSetupCode_165,0
TPressSetupCode_170,0
TPressSetupCode_174,0
TPressSetupCode_185,0
TPressParameterCode_21.0,0
TPressParameterCode_20.0,0
TPressProdReportHardSrel_PD_PeriodicityWang_th0_01,0
TPressProdReportHardSrel_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0
TPressProdReportHardSrel_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0
TPressParameterCode_17.0,0
TPressParameterCode_16.0,0
TPressParameterCode_24.0_CO_HistogramAMI_even_2_5,0
TPressParameterCode_24.0_PD_PeriodicityWang_th0_01,0
TPressParameterCode_24.0_CO_Embed2_Dist_tau_d_expfit_meandiff,0
TPressParameterCode_24.0_IN_AutoMutualInfoStats_40_gaussian_fmmi,0
TPressParameterCode_24.0_SB_BinaryStats_diff_longstretch0,0
TPressParameterCode_13.0_SB_MotifThree_quantile_hh,0
