feature,importance
TPressParameterCode_24.0_IN_AutoMutualInfoStats_40_gaussian_fmmi,0
TPressParameterCode_24.0_FC_LocalSimple_mean1_tauresrat,0
TPressParameterCode_24.0_SP_Summaries_welch_rect_area_5_1,0
TPressParameterCode_24.0_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0
TPressProdReportHardSrel_SP_Summaries_welch_rect_area_5_1,0
TPressParameterCode_24.0_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0
TPressParameterCode_24.0_FC_LocalSimple_mean3_stderr,0
TPressParameterCode_13.0_CO_FirstMin_ac,0
TPressParameterCode_13.0_CO_HistogramAMI_even_2_5,0
TPressParameterCode_13.0_CO_trev_1_num,0
TPressParameterCode_13.0_SB_BinaryStats_mean_longstretch1,0
TPressParameterCode_13.0_PD_PeriodicityWang_th0_01,0
TPressParameterCode_13.0_IN_AutoMutualInfoStats_40_gaussian_fmmi,0
TPressParameterCode_13.0_FC_LocalSimple_mean1_tauresrat,0
TPressParameterCode_13.0_SP_Summaries_welch_rect_area_5_1,0
TPressParameterCode_13.0_SB_BinaryStats_diff_longstretch0,0
TPressParameterCode_13.0_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0
TPressProdReportHardSrel_SB_BinaryStats_diff_longstretch0,0
TPressProdReportHardSrel_DN_OutlierInclude_n_001_mdrmd,0
TPressSetupCode_83,0
TPressSetupCode_126,0
TPressSetupCode_85,0
TPressSetupCode_100,0
TPressSetupCode_102,0
TPressSetupCode_103,0
TPressSetupCode_105,0
TPressSetupCode_109,0
TPressSetupCode_110,0
TPressSetupCode_119,0
TPressSetupCode_120,0
TPressSetupCode_121,0
TPressSetupCode_123,0
TPressSetupCode_125,0
TPressSetupCode_128,0
TPressProdReportHardSrel_FC_LocalSimple_mean1_tauresrat,0
TPressSetupCode_139,0
TPressSetupCode_163,0
TPressSetupCode_164,0
TPressSetupCode_165,0
TPressSetupCode_170,0
TPressSetupCode_174,0
TPressSetupCode_185,0
TPressProdReportHardSrel_CO_HistogramAMI_even_2_5,0
TPressProdReportHardSrel_MD_hrv_classic_pnn40,0
TPressProdReportHardSrel_SB_BinaryStats_mean_longstretch1,0
TPressProdReportHardSrel_PD_PeriodicityWang_th0_01,0
TPressProdReportHardSrel_IN_AutoMutualInfoStats_40_gaussian_fmmi,0
QProd_FC_LocalSimple_mean3_stderr,0
